127.0.0.1 - - [07/Dec/2020:11:53:40 -0500] "GET / HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:54:19 -0500] "POST /AppWebSeguridad/faces/login.xhtml;jsessionid=E303327400A03DDEE62CD497BF59A8FA HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:54:19 -0500] "POST /AppWebSeguridad/faces/login.xhtml;jsessionid=E303327400A03DDEE62CD497BF59A8FA HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:54:19 -0500] "POST /AppWebSeguridad/faces/login.xhtml;jsessionid=E303327400A03DDEE62CD497BF59A8FA HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:54:19 -0500] "POST /AppWebSeguridad/faces/login.xhtml;jsessionid=E303327400A03DDEE62CD497BF59A8FA HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:54:19 -0500] "POST /AppWebSeguridad/faces/login.xhtml;jsessionid=E303327400A03DDEE62CD497BF59A8FA HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:54:19 -0500] "POST /AppWebSeguridad/faces/login.xhtml;jsessionid=E303327400A03DDEE62CD497BF59A8FA HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:54:19 -0500] "POST /AppWebSeguridad/faces/login.xhtml;jsessionid=E303327400A03DDEE62CD497BF59A8FA HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:54:20 -0500] "POST /AppWebSeguridad/faces/login.xhtml;jsessionid=E303327400A03DDEE62CD497BF59A8FA HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:55:12 -0500] "POST /AppWebSeguridad/faces/login.xhtml;jsessionid=E303327400A03DDEE62CD497BF59A8FA HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [07/Dec/2020:11:55:24 -0500] "POST /AppWebSeguridad/faces/login.xhtml;jsessionid=E303327400A03DDEE62CD497BF59A8FA HTTP/1.1" 200 556
